[2018-11-16 13:23:15,970] INFO  Enter TestBase setUp
[2018-11-16 13:23:16,004] INFO  Enter TestBase setUp
[2018-11-16 13:23:16,008] INFO  Enter loadInitProperties() ...
[2018-11-16 13:23:16,019] INFO  --------- List Of Properties ---------
[2018-11-16 13:23:16,137] INFO  Key = seetest.network.tunnelpath ; Value = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 13:23:16,138] INFO  Key = xpath.query ; Value = //*[@nodeName='PRE']
[2018-11-16 13:23:16,138] INFO  Key = ios.app.name ; Value = com.experitest.ExperiBank
[2018-11-16 13:23:16,138] INFO  Key = local.app.url ; Value = http://192.168.1.4
[2018-11-16 13:23:16,138] INFO  Key = android.app.name ; Value = com.experitest.ExperiBank/.LoginActivity
[2018-11-16 13:23:16,138] INFO  Key = seetest.cloud.url ; Value = https://cloud.seetest.io:443/wd/hub
[2018-11-16 13:23:16,138] INFO  Key = expected_value ; Value = Hello World!
[2018-11-16 13:23:16,138] INFO  --------- END ---------
[2018-11-16 13:23:16,138] INFO  Exit loadInitProperties() ...
[2018-11-16 13:23:16,140] INFO  Setting up Desired Capabilities
[2018-11-16 13:23:16,182] INFO  Device Query = @os='android'
[2018-11-16 13:23:16,182] INFO  Desired Capabilities setup complete
[2018-11-16 13:23:45,940] INFO  Enter startNetworkTunnel() ...
[2018-11-16 13:23:45,940] INFO  Starting Process with -  C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 13:23:45,940] INFO  Path = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 13:23:45,966] INFO  Process started - C:\Users\kishore.kameshwar\Downloads\network-tunnel --url https://cloud.seetest.io/ws-istp --access-key eyJ4cC51IjoyMzIyMjk1LCJ4cC5wIjozLCJ4cC5tIjoiTVRVME1EZ3dOemN6T0RNNU5BIiwiYWxnIjoiSFMyNTYifQ.eyJleHAiOjE4NTYxNjc3MzgsImlzcyI6ImNvbS5leHBlcml0ZXN0In0.vnifvEzvQmT31AqhmX9KD_P-kg2Br9CezcBKFGr_Omk
[2018-11-16 13:23:45,966] INFO  Exit TestBase setUp
[2018-11-16 13:23:45,972] INFO  Enter testSampleNetworkTunnelTest()
[2018-11-16 13:26:44,018] INFO  Loading Local App = http://192.168.1.4
[2018-11-16 13:26:44,018] INFO  XPATH Query = //*[@nodeName='PRE']
[2018-11-16 13:26:47,374] INFO  Enter tearDown()
[2018-11-16 13:26:47,375] INFO  destroying network tunnel process
[2018-11-16 13:30:12,031] INFO  Enter TestBase setUp
[2018-11-16 13:30:12,039] INFO  Enter TestBase setUp
[2018-11-16 13:30:12,040] INFO  Enter loadInitProperties() ...
[2018-11-16 13:30:12,040] INFO  --------- List Of Properties ---------
[2018-11-16 13:30:12,177] INFO  Key = seetest.network.tunnelpath ; Value = C:\Users\kishore.kameshwar\Downloads\network-tunnel
[2018-11-16 13:30:12,177] INFO  Key = xpath.query ; Value = //*[@nodeName='PRE']
[2018-11-16 13:30:12,177] INFO  Key = ios.app.name ; Value = com.experitest.ExperiBank
[2018-11-16 13:30:12,177] INFO  Key = local.app.url ; Value = http://192.168.1.4
[2018-11-16 13:30:12,177] INFO  Key = android.app.name ; Value = com.experitest.ExperiBank/.LoginActivity
[2018-11-16 13:30:12,177] INFO  Key = seetest.cloud.url ; Value = https://cloud.seetest.io:443/wd/hub
[2018-11-16 13:30:12,177] INFO  Key = expected_value ; Value = Hello World!
[2018-11-16 13:30:12,177] INFO  --------- END ---------
[2018-11-16 13:30:12,177] INFO  Exit loadInitProperties() ...
[2018-11-16 13:30:12,177] INFO  Setting up Desired Capabilities
[2018-11-16 13:30:12,262] INFO  Device Query = @os='android'
[2018-11-16 13:30:12,262] INFO  Desired Capabilities setup complete
